,queries,labels
4476,Pasta / noodles - not ready to eat (frozen),Pasta/Noodles - Not Ready to Eat (Frozen)
4477,Pasta/noodles: You are not ready to eat (perishable),Pasta/Noodles - Not Ready to Eat (Perishable)
4478,Pasta / noodles - not ready to eat (perishable),Pasta/Noodles - Not Ready to Eat (Perishable)
4479,Pasta/noodles: You are not ready to eat (stable),Pasta/Noodles - Not Ready to Eat (Shelf Stable)
4480,Pasta / noodles - not ready to eat (stable shelf),Pasta/Noodles - Not Ready to Eat (Shelf Stable)
4481,Pasta/noodles - Ready to eat (perishable),Pasta/Noodles - Ready to Eat (Perishable)
4482,Pasta / noodles - ready to eat (perishable),Pasta/Noodles - Ready to Eat (Perishable)
4483,Pasta/noodles - Ready to eat (stable),Pasta/Noodles - Ready to Eat (Shelf Stable)
4484,Pasta / noodles - ready to eat (stable shelf),Pasta/Noodles - Ready to Eat (Shelf Stable)
4485,Pasta/noodles varieties,Pasta/Noodles Variety Packs
4486,Packs of pasta / noodles varieties,Pasta/Noodles Variety Packs
4487,Soup additions (frozen),Soup Additions (Frozen)
4488,Soup additions (frozen),Soup Additions (Frozen)
4489,Soup additions (perishable),Soup Additions (Perishable)
4490,Soup additions (perishable),Soup Additions (Perishable)
4491,Soup additions (stable on the shelf),Soup Additions (Shelf Stable)
4492,Soup additions (stable shelf),Soup Additions (Shelf Stable)
4493,Soups - Prepared (frozen),Soups - Prepared (Frozen)
4494,Soups - prepared (frozen),Soups - Prepared (Frozen)
4495,Soups - Prepared (perishable),Soups - Prepared (Perishable)
4496,Soups - prepared (perishable),Soups - Prepared (Perishable)
4497,Soups - Prepared (stable),Soups - Prepared (Shelf Stable)
4498,Soups - prepared (stable shelf),Soups - Prepared (Shelf Stable)
4499,Soups: Packages of prepared varieties,Soups - Prepared Variety Packs
4500,Soups - prepared variety packs,Soups - Prepared Variety Packs
4501,Packages of varieties of prepared/preserved foods,Prepared/Preserved Foods Variety Packs
4502,Prepared / preserved meal variety packs,Prepared/Preserved Foods Variety Packs
4503,Combined Meals Prepared: Do not ready to eat (frozen),Ready-Made Combination Meals - Not Ready to Eat (Frozen)
4504,Filled combination meals - not ready to eat (frozen),Ready-Made Combination Meals - Not Ready to Eat (Frozen)
4505,Combined Meals Prepared: Do not ready to eat (perishable),Ready-Made Combination Meals - Not Ready to Eat (Perishable)
4506,Filled combination meals - not ready to eat (perishable),Ready-Made Combination Meals - Not Ready to Eat (Perishable)
4507,Combined Meals Prepared: Do not ready to eat (stable),Ready-Made Combination Meals - Not Ready to Eat (Shelf Stable)
4508,Filled combination meals - not ready to eat (stable shelf),Ready-Made Combination Meals - Not Ready to Eat (Shelf Stable)
4509,Combined meals prepared: They are not ready to eat variety packages,Ready-Made Combination Meals - Not Ready to Eat Variety Packs
4510,Filled combination meals - not ready to eat variety packs,Ready-Made Combination Meals - Not Ready to Eat Variety Packs
4511,Combined meals prepared - Ready to eat (perishable),Ready-Made Combination Meals - Ready to Eat (Perishable)
4512,Reallages postponed Made - Ready to eat (perishable),Ready-Made Combination Meals - Ready to Eat (Perishable)
4513,Combined meals prepared: ready to eat (stable),Ready-Made Combination Meals - Ready to Eat (Shelf Stable)
4514,Reallages postponed Madionées - Ready to eat (stable shelf),Ready-Made Combination Meals - Ready to Eat (Shelf Stable)
4515,Combined Meals Prepared: Packages of varieties ready to eat,Ready-Made Combination Meals - Ready to Eat Variety Packs
4516,Filled with prepared combination - variety packs ready to eat,Ready-Made Combination Meals - Ready to Eat Variety Packs
4517,Sandwiches/rolls/full wraps (frozen),Sandwiches/Filled Rolls/Wraps (Frozen)
4518,Sandwiches / rollers / filled wraps (frozen),Sandwiches/Filled Rolls/Wraps (Frozen)
4519,Sandwiches/rolls/full wraps (perishable),Sandwiches/Filled Rolls/Wraps (Perishable)
4520,Sandwiches / rollers / filled wraps (perishable),Sandwiches/Filled Rolls/Wraps (Perishable)
4521,Sandwiches/Rolls full/variety wraps,Sandwiches/Filled Rolls/Wraps Variety Packs
4522,Filled sandwiches / rollers / wraps packs,Sandwiches/Filled Rolls/Wraps Variety Packs
4523,Caramel/caramel apples,Caramel/Toffee Apples
4524,Caramel / caramel apples,Caramel/Toffee Apples
4525,Chips/French fries/mixtures of snacks: natural/extruded (stable),Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable)
4526,Chips / crisps / snack mixtures - Natural / extruded (stable shelf),Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable)
4527,GRIFFONNINGS / FLOW,Doodles/ Puffs
4528,Corn palomites (stable on the shelf),Popcorn (Shelf Stable)
4529,Popcorn (stable shelf),Popcorn (Shelf Stable)
4530,Sal / Mini Pretzels sticks,Salt Sticks / Mini Pretzels
4531,Salt sticks / mini Bretzels,Salt Sticks / Mini Pretzels
4532,Others snacks,Snacks Other
4533,Other snacks,Snacks Other
4534,Packages of snack varieties,Snacks Variety Packs
4535,Snack variety packs,Snacks Variety Packs
4536,Spreads based on confectionery (shelf stable),Confectionery Based Spreads (Shelf Stable)
4537,Spreads based on the confectionery (stable shelf),Confectionery Based Spreads (Shelf Stable)
4538,Honey (stable on the shelf),Honey (Shelf Stable)
4539,Honey (stable shelf),Honey (Shelf Stable)
4540,Honey substitutes,Honey Substitutes
4541,Honey substitutes,Honey Substitutes
4542,Jams/jams (shelf stable),Jams/Marmalades (Shelf Stable)
4543,Jams / Marmalades (stable shelf),Jams/Marmalades (Shelf Stable)
4544,Jams/jams/fruits propagation (perishable),Jams/Marmalades/Fruit Spreads (Perishable)
4545,Fruit (perishable) jams / tartinades (perishable),Jams/Marmalades/Fruit Spreads (Perishable)
4546,Sweet propagation varieties,Sweet Spreads Variety Packs
4547,Sweet Spreads varieties packs,Sweet Spreads Variety Packs
4548,Vegetable -based products / meals: you are not ready to eat (frozen),Vegetable Based Products / Meals - Not Ready to Eat (Frozen)
4549,Vegetable products / meals - not ready to eat (frozen),Vegetable Based Products / Meals - Not Ready to Eat (Frozen)
4550,VEGETABLING PRODUCTS / FOODS: You are not ready to eat (perishable),Vegetable Based Products / Meals - Not Ready to Eat (Perishable)
4551,Vegetable products / meals - not ready to eat (perishable),Vegetable Based Products / Meals - Not Ready to Eat (Perishable)
4552,Vegetable products / meals: you are not ready to eat (stable),Vegetable Based Products / Meals - Not Ready to Eat (Shelf Stable)
4553,Vegetable products / meals - not ready to eat (stable shelf),Vegetable Based Products / Meals - Not Ready to Eat (Shelf Stable)
4554,VEGETABLING PRODUCTS / FOODS: Ready to eat (perishable),Vegetable Based Products / Meals - Ready to Eat (Perishable)
4555,Vegetable products / meals - ready to eat (perishable),Vegetable Based Products / Meals - Ready to Eat (Perishable)
4556,VEGETABLE BASED PRODUCTS / FOOTS: LEADING TO EAT (STRAFFE),Vegetable Based Products / Meals - Ready to Eat (Shelf Stable)
4557,Vegetable products / meals - ready to eat (stable shelf),Vegetable Based Products / Meals - Ready to Eat (Shelf Stable)
4558,Variety -based varieties / meals,Vegetable Based Products / Meals Variety Packs
4559,Vegetable products / meal variety packs,Vegetable Based Products / Meals Variety Packs
4560,Artificial traps,Artificial Casings
4561,Artificial watering,Artificial Casings
4562,Natural housings,Natural Casings
4563,Natural barrels,Natural Casings
4564,Extracts/salts/meat meat (shelf stable),Extracts/Salt/Meat Tenderisers (Shelf Stable)
4565,Extracts / salt / tender meat (stable shelf),Extracts/Salt/Meat Tenderisers (Shelf Stable)
4566,Excerpts/condiments/flavors (shelf stable),Extracts/Seasonings/Flavour Enhancers (Shelf Stable)
4567,Extracts / seasonings / flavors of flavors (stable shelf),Extracts/Seasonings/Flavour Enhancers (Shelf Stable)
4568,Food additives,Food Additives
4569,Herbs/spices (frozen),Herbs/Spices (Frozen)
4570,Herbs / spices (frost),Herbs/Spices (Frozen)
4571,Herbs/spices (perishable),Herbs/Spices (Perishable)
4572,Herbs / spices (perishable),Herbs/Spices (Perishable)
4573,Herbs/spices (shelf stable),Herbs/Spices (Shelf Stable)
4574,Herbs / spices (stable shelf),Herbs/Spices (Shelf Stable)
4575,Herbs/spices/extracts varieties,Herbs/Spices/Extracts Variety Packs
4576,Herbs / spices / extracts variety packs,Herbs/Spices/Extracts Variety Packs
4577,Stock/bones (frozen),Stock/Bones (Frozen)
4578,Stock / OS (frozen),Stock/Bones (Frozen)
4579,Stock/bones (perishable),Stock/Bones (Perishable)
4580,Stock / OS (perishable),Stock/Bones (Perishable)
4581,Stock/bones (shelf stable),Stock/Bones (Shelf Stable)
4582,Stock / OS (stable shelf),Stock/Bones (Shelf Stable)
4583,Chutneys/delisses (frozen),Chutneys/Relishes (Frozen)
4584,CHUTNEYS / RELISH (frozen),Chutneys/Relishes (Frozen)
4585,Chutneys/Enjoy (perishable),Chutneys/Relishes (Perishable)
4586,CHUTNEYS / RELISH (perishable),Chutneys/Relishes (Perishable)
4587,Chutneys/Delises (shelf stable),Chutneys/Relishes (Shelf Stable)
4588,CHUTNEYS / RELISH (Stable shelf),Chutneys/Relishes (Shelf Stable)
4589,Olives (perishable),Olives (Perishable)
4590,Olives (perishable),Olives (Perishable)
4591,Olives (shelf stable),Olives (Shelf Stable)
4592,Olives (stable shelf),Olives (Shelf Stable)
4593,Pubeche vegetables,Pickled Vegetables
4594,Pickled vegetables,Pickled Vegetables
4595,Pickup packages/flavors/chutneys/variety olives,Pickles/Relishes/Chutneys/Olives Variety Packs
4596,Pickles / Relish / CHUTNEYS / OLIVES VARIETY PACKS,Pickles/Relishes/Chutneys/Olives Variety Packs
4597,DIREZO/SAUAS (Frozen),Dressing/Dips (Frozen)
4598,Vinaigrette / dip (frozen),Dressing/Dips (Frozen)
4599,Dressings/sauces (perishable),Dressings/Dips (Perishable)
4600,Dressings / dip (perishable),Dressings/Dips (Perishable)
4601,DIREZOS/SALSAS (shelf stable),Dressings/Dips (Shelf Stable)
4602,Dressings / dip (stable shelf),Dressings/Dips (Shelf Stable)
4603,Food enamels (shelf stable),Food Glazes (Shelf Stable)
4604,Food glazes (stable shelf),Food Glazes (Shelf Stable)
4605,Mayonnaise/mayonnaise substitutes (frozen),Mayonnaise/Mayonnaise Substitutes (Frozen)
4606,Mayonnaise / mayonnaise substitutes (frozen),Mayonnaise/Mayonnaise Substitutes (Frozen)
4607,Mayonnaise/mayonnaise substitutes (perishable),Mayonnaise/Mayonnaise Substitutes (Perishable)
4608,Mayonnaise / mayonnaise substitutes (perishable),Mayonnaise/Mayonnaise Substitutes (Perishable)
4609,Mayonnaise/mayonnaise substitutes (shelf stable),Mayonnaise/Mayonnaise Substitutes (Shelf Stable)
4610,Mayonnaise / mayonnaise substitutes (stable shelf),Mayonnaise/Mayonnaise Substitutes (Shelf Stable)
4611,Mustard (frozen),Mustard (Frozen)
4612,Mustard (frozen),Mustard (Frozen)
4613,Mustard (perishable),Mustard (Perishable)
4614,Mustard (perishable),Mustard (Perishable)
4615,Mustard (stable on the shelf),Mustard (Shelf Stable)
4616,Mustard (stable shelf),Mustard (Shelf Stable)
4617,Other submerged sauces/condiments/salty ingredients/spreds/marinadas (frozen),Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Frozen)
4618,Other soaking sauces / Salted condiments / fittings / savory / marinades (frozen),Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Frozen)
4619,Other submerged sauces/condiments/salty ingredients/spreds/marinadas (perishable),Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Perishable)
4620,Other soaking sauces / Salty condiments / garnishes / savory / marinades (perishable),Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Perishable)
4621,Other submerged sauces/condiments/salty ingredients/spreads/salted marinades (shelf stable),Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable)
4622,Other soaking sauces / Salted condiments / fittings / savory / marinades (stable shelf),Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable)
4623,Pate (frozen),Pate (Frozen)
4624,Pate (frozen),Pate (Frozen)
4625,Pate (perishable),Pate (Perishable)
4626,Pate (perishable),Pate (Perishable)
4627,Pate (stable on the shelf),Pate (Shelf Stable)
4628,Dough (stable shelf),Pate (Shelf Stable)
4629,Sauces - cooking (frozen),Sauces - Cooking (Frozen)
4630,Sauces - kitchen (jelly),Sauces - Cooking (Frozen)
4631,Sauces - cooking (perishable),Sauces - Cooking (Perishable)
4632,Sauces - kitchen (perishable),Sauces - Cooking (Perishable)
4633,Saucas - Kitchen (shelf stable),Sauces - Cooking (Shelf Stable)
4634,Sauces - kitchen (stable shelf),Sauces - Cooking (Shelf Stable)
4635,Sauces/spreads/bucks/condiments variety packages,Sauces/Spreads/Dips/Condiments Variety Packs
4636,Sauces / deviations / hollows / condiments variety packs,Sauces/Spreads/Dips/Condiments Variety Packs
4637,Ketchup/ketchup tomato substitutes (frozen),Tomato Ketchup/Ketchup Substitutes (Frozen)
4638,Ketchup / tomato ketchup substitutes (frozen),Tomato Ketchup/Ketchup Substitutes (Frozen)
4639,Ketchup/ketchup tomato substitutes (perishable),Tomato Ketchup/Ketchup Substitutes (Perishable)
4640,Ketchup / tomato ketchup substitutes (perishable),Tomato Ketchup/Ketchup Substitutes (Perishable)
4641,Ketchup/ketchup tomato substitutes (shelf stable),Tomato Ketchup/Ketchup Substitutes (Shelf Stable)
4642,Ketchup / tomato ketchup substitutes (stable shelf),Tomato Ketchup/Ketchup Substitutes (Shelf Stable)
4643,Condiments/preservatives/variety packages extracts,Seasonings/Preservatives/Extracts Variety Packs
4644,Packs of seasoning varieties / Conservatives / Extracts,Seasonings/Preservatives/Extracts Variety Packs
4645,Kitchen wines,Cooking Wines
4646,Kitchen wines,Cooking Wines
4647,Vinegres,Vinegars
4648,VINAGARES/PACKS OF VARIETIES OF KITCHEN WINES,Vinegars/Cooking Wines Variety Packs
4649,Vineules / Kitchen Wine Variety Packs,Vinegars/Cooking Wines Variety Packs
4650,Cannabis - Mixture of cookies/cookies (shelf stable),Cannabis - Biscuit/Cookie Mix (shelf stable)
4651,Cannabis - cookie / cookie mixed (stable shelf),Cannabis - Biscuit/Cookie Mix (shelf stable)
4652,Cannabis - Cookies/Cookies - Ready to eat (stable),Cannabis - Biscuits/Cookies - Ready to Eat (shelf stable)
4653,Cannabis - Cookies / Cookies - Ready to eat (stable shelf),Cannabis - Biscuits/Cookies - Ready to Eat (shelf stable)
4654,Cannabis - Cookies/Cookies (frozen),Cannabis - Biscuits/Cookies (Frozen)
4655,Cannabis - Cookies / cookies (frozen),Cannabis - Biscuits/Cookies (Frozen)
4656,Cannabis - Cookies/Cookies (perishable),Cannabis - Biscuits/Cookies (Perishable)
4657,Cannabis - Cookies / Cookies (perishable),Cannabis - Biscuits/Cookies (Perishable)
4658,Cannabis: cookies/cookies (stable on shelf),Cannabis - Biscuits/Cookies (Shelf Stable)
4659,Cannabis - Biscuits / Cookies (stable shelf),Cannabis - Biscuits/Cookies (Shelf Stable)
4660,Cannabis - Candy/Sugar Candy replace,Cannabis - Candy/Sugar Candy Substitute Confectionary
4661,Cannabis - candies / candy replacement sugar,Cannabis - Candy/Sugar Candy Substitute Confectionary
4662,Cannabis - Chocolate/Chocolate Sweet Confectionery,Cannabis - Chocolate/Chocolate Candy Confectionary
4663,Cannabis - Chocolate / Chocolate Candy Crubby,Cannabis - Chocolate/Chocolate Candy Confectionary
4664,Cannabis - Packages of varieties of confectionery/sugar sweetening products,Cannabis - Confectionery/Sugar Sweetening Products Variety Packs
4665,Cannabis - Confiction / sweetening products of varieties Packs,Cannabis - Confectionery/Sugar Sweetening Products Variety Packs
4666,Cannabis - Flavor drinks - Ready to drink (stable),Cannabis - Drinks Flavoured - Ready to Drink (Shelf Stable)
4667,Cannabis - Flated drinks - ready to drink (stable shelf),Cannabis - Drinks Flavoured - Ready to Drink (Shelf Stable)
4668,Cannabis - Water Potentiar Drinks (shelf stable),Cannabis - Drinks Water Enhancer (Shelf Stable)
4669,Cannabis - BRINKS Water Enhancer (Stable shelf),Cannabis - Drinks Water Enhancer (Shelf Stable)
4670,Cannabis - Fruit herbal infusions - Ready to drink,Cannabis - Fruit Herbal Infusions - Ready to Drink
4671,Cannabis - Fruit plant infusions - ready to drink,Cannabis - Fruit Herbal Infusions - Ready to Drink
4672,Cannabis - Fruit juice - Ready to drink (perishable),Cannabis - Fruit Juice - Ready to Drink (Perishable)
4673,Cannabis - Fruit juice - ready -to -drink (perishable),Cannabis - Fruit Juice - Ready to Drink (Perishable)
4674,Cannabis - Fruit juice - Ready to drink (stable),Cannabis - Fruit Juice - Ready to Drink (Shelf Stable)
4675,Cannabis - Fruit juice - ready -to -drink (stable shelf),Cannabis - Fruit Juice - Ready to Drink (Shelf Stable)
4676,Cannabis - Fruit juice drinks - Ready to drink (perishable),Cannabis - Fruit Juice Drinks - Ready to Drink (Perishable)
4677,Cannabis - Fruit juice drinks - ready -to -drink (perishable),Cannabis - Fruit Juice Drinks - Ready to Drink (Perishable)
4678,Cannabis - Fruit juice drinks - Ready to drink (stable),Cannabis - Fruit Juice Drinks - Ready to Drink (Shelf Stable)
4679,Cannabis - Fruit juice drinks - ready -to -drink (stable shelf),Cannabis - Fruit Juice Drinks - Ready to Drink (Shelf Stable)
4680,Cannabis - Muffins/Brownies/Pasteles - Ready to eat (stable),Cannabis - Muffins/Brownies/Cakes - Ready to Eat (shelf stable)
4681,Cannabis - muffins / brownies / cakes - ready to eat (stable shelf),Cannabis - Muffins/Brownies/Cakes - Ready to Eat (shelf stable)
4682,Cannabis - Edible oils - Vegetables or plants (stable),Cannabis - Oils Edible - Vegetable or Plant (Shelf Stable)
4683,Cannabis - edible oils - vegetables or plants (stable shelf),Cannabis - Oils Edible - Vegetable or Plant (Shelf Stable)
4684,Cannabis - Oral Solids - Capsules/Tablets/Softels,Cannabis - Oral Solids - Capsules/Tablets/Softgels
4685,Cannabis - Solids oral - capsules / tablets / soft gels,Cannabis - Oral Solids - Capsules/Tablets/Softgels
4686,Cannabis - Tea/herbal tea - Leaves/infused bags,Cannabis - Tea/Herbal Tea - Leaves/Bags Infused
4687,Cannabis - tea / tisan - infused leaves / bags,Cannabis - Tea/Herbal Tea - Leaves/Bags Infused
4688,Cannabis - Tea/herbal tea infusions - Ready to drink (stable),Cannabis - Tea/Herbal Tea Infusions - Ready to Drink (Shelf Stable)
4689,Cannabis - tea / tea infusions based on plants - ready -to -drink (stable shelf),Cannabis - Tea/Herbal Tea Infusions - Ready to Drink (Shelf Stable)
4690,Cannabis - concentrated - wax / resin,Cannabis - Concentrate - Wax/Resin
4691,Cannabis - Disposable vape pen,Cannabis - Disposible Vape Pen
4692,Cannabis - disposable vaping pen,Cannabis - Disposible Vape Pen
4693,Cannabis - Dry Flower,Cannabis - Dried Flower
4694,Cannabis - dried flower,Cannabis - Dried Flower
4695,Cannabis - hash,Cannabis - Hash
4696,Cannabis - Herbal cigarettes - No tobacco,Cannabis - Herbal Cigarettes - Non Tobacco
4697,Cannabis - Plant cigarettes - Non Tobacco,Cannabis - Herbal Cigarettes - Non Tobacco
4698,Cannabis oil,Cannabis - Oil
4699,Cannabis - Pre -Rolled,Cannabis - Pre-Rolled
4700,Cannabis - Pre -rocked,Cannabis - Pre-Rolled
4701,Cannabis - Break,Cannabis - Shatter
4702,Cannabis - Topical - Face -Body Cream/Lootions,Cannabis - Topical - Face-Body Cream/Lotions
4703,Cannabis - Topic - Face Cream / Lotions,Cannabis - Topical - Face-Body Cream/Lotions
4704,Cannabis - Vape cartridge,Cannabis - Vape Cartridge
4705,Cannabis - Vape cartridge,Cannabis - Vape Cartridge
4706,Cannabis - Vape kit,Cannabis - Vape Kit
4707,Cannabis - wax,Cannabis - Wax
4708,Electronic cigarette accessories,Electronic Cigarette Accessories
4709,Electronic cigarette accessories,Electronic Cigarette Accessories
4710,Electronic cigarettes,Electronic Cigarettes
4711,Electronic cigarettes,Electronic Cigarettes
4712,Master with plants / tobacco,Herbal Chew/Snuff - Non Tobacco
4713,Herbal cigarettes - No tobacco,Herbal Cigarettes - Non Tobacco
4714,Plant cigarettes - Non tobacco,Herbal Cigarettes - Non Tobacco
4715,Smoking accessories,Smoking Accessories
4716,Smoking accessories,Smoking Accessories
4717,Cigarettes,Cigars
4718,Cigar,Cigars
4719,Tobacco - chew/tobacco,Tobacco - Chewing/Snuff
4720,Tobacco - chew / tobacco,Tobacco - Chewing/Snuff
4721,Tobacco - loose,Tobacco - Loose
4722,Tobacco - loose,Tobacco - Loose
4723,Tobacco/cannabis/herbal products/smoking accessories,Tobacco/Cannabis/Herbal Products/Smoking Accessories Variety Packs
4724,Tobacco / cannabis / plants based on plants / smoking accessories variety packs,Tobacco/Cannabis/Herbal Products/Smoking Accessories Variety Packs
4725,Vegetables: Without preparation/without processing (frozen),Vegetables - Unprepared/Unprocessed (Frozen)
4726,Vegetables - not prepared / unprocessed (frozen),Vegetables - Unprepared/Unprocessed (Frozen)
4727,Vegetables: Without preparation/without processing (stable),Vegetables - Unprepared/Unprocessed (Shelf Stable)
4728,Vegetables - not prepared / unprocessed (stable shelf),Vegetables - Unprepared/Unprocessed (Shelf Stable)
4729,Adzuki beans,Adzuki Beans
4730,Adzuki beans,Adzuki Beans
4731,Beans (winged),Beans (Winged)
4732,Beans (winged),Beans (Winged)
4733,Broad beans,Broad Beans
4734,Beans,Broad Beans
4735,French beans/wax,French/Wax Beans
4736,French / wax beans,French/Wax Beans
4737,Beans,Jack Beans
4738,Jack beans,Jack Beans
4739,Broad beans,Lima Beans
4740,Lima beans,Lima Beans
4741,Green beans,Runner Beans
4742,Beans,Runner Beans
4743,Beans,Yardlong Beans
4744,Beans,Yardlong Beans
4745,Bimi and other interbreíes of Brassica,Bimi and Other Brassica Interbreeds
4746,Bimi and other nonsense brassica,Bimi and Other Brassica Interbreeds
4747,Black mustard,Black Mustard
4748,Black mustard,Black Mustard
4749,Brussels sprouts,Brussel Sprouts
4750,Brussels sprouts,Brussel Sprouts
4751,Chinese cabbage,Chinese Cabbages
4752,Chinese cabbage,Chinese Cabbages
4753,Gai Choy (Mustaza Greens),Gai Choy (Mustard Greens)
4754,Gai Choy (Greens with mustard),Gai Choy (Mustard Greens)
4755,GAI LAN,Gai Lan
4756,GAI LAN,Gai Lan
4757,Greens (Texas mustard),Greens (Texas Mustard)
4758,kale,Kale
4759,kale,Kale
4760,Swede,Kohlrabi
4761,May turnip,May Turnips
4762,May turnips,May Turnips
4763,Pointed cabbage,Pointed Cabbage
4764,Dotted cabbage,Pointed Cabbage
4765,Red choles,Red Cabbages
4766,Red cabbage,Red Cabbages
4767,Savoy Cabas,Savoy Cabbages
4768,Savoy cabbage,Savoy Cabbages
4769,Swedish turnips (rutabagas),Swedish Turnips (Rutabagas)
4770,Swedish Navriaters (Rutabagas),Swedish Turnips (Rutabagas)
4771,Tatoi,Tatsoi
4772,Tatso,Tatsoi
4773,Teltow Nabes,Teltow Turnips
4774,Navets in Teltow,Teltow Turnips
4775,Nabo tops,Turnip Tops
4776,Turnip,Turnip Tops
4777,Nabos,Turnips
4778,White cabbages,White Cabbages
4779,White cabbage,White Cabbages
4780,Elephant garlic,Elephant Garlic
4781,Elephant garlic,Elephant Garlic
4782,Chalotes,Shallots
4783,Shallot,Shallots
4784,Spring (or Spanish) onions,Spring (or Spanish) Onions
4785,Spring (or Spanish) onions),Spring (or Spanish) Onions
4786,Garbanzo beans,Chickpeas
4787,Crooked cucumber,Crooked Cucumber
4788,Twisted cucumber,Crooked Cucumber
4789,Bitter melon,Bitter Melon
4790,Bitter melon,Bitter Melon
4791,Zucchini,Courgettes
4792,Courtesy,Courgettes
4793,Squash (pumpkin),Squash (Calabaza)
4794,Squash (OPO),Squash (Opo)
4795,Squash (OPO),Squash (Opo)
4796,Pumpkins,Gourds
4797,Gourdes,Gourds
4798,Pumpkins/Winter Pumpkin,Pumpkins/Winter Squash
4799,Pumpkin / winter squash,Pumpkins/Winter Squash
4800,comestible flowers,Edible Flowers
4801,Edible flowers,Edible Flowers
4802,Ferns (cinnamon),Ferns (Cinnamon)
4803,Farms (cinnamon),Ferns (Cinnamon)
4804,Ferns (real),Ferns (Royal)
4805,FERNES (Royal),Ferns (Royal)
4806,Violin ferns,Fiddlehead Ferns
4807,Violin head ferns,Fiddlehead Ferns
4808,Beech mushrooms,Beech Mushrooms
4809,Beech mushrooms,Beech Mushrooms
4810,CEP,Cep
4811,Porcini,Cep
4812,Chantelles,Chanterelles
4813,Common cultured fungus (agarico),Common Cultivated Mushroom (Agaricus)
4814,Common cultivated fungus (Agaricus),Common Cultivated Mushroom (Agaricus)
4815,ENKITAKE,Enokitake
4816,Lingzhi fungi,Lingzhi Mushrooms
4817,Lingzhi mushrooms,Lingzhi Mushrooms
4818,Brunette,Morels
4819,Thistle mushrooms,Oyster Mushrooms
4820,Mushrooms Oyster,Oyster Mushrooms
4821,Shiitake mushrooms,Shiitake Mushrooms
4822,Shiitake mushrooms,Shiitake Mushrooms
4823,truffles,Truffles
4824,Wild fungi (others),Wild Mushrooms (Other)
4825,Wild mushrooms (others),Wild Mushrooms (Other)
4826,Burnet saxifrage,Burnet Saxifrage
4827,Burnet saxifrage,Burnet Saxifrage
4828,Celery leaves,Celery Leaves
4829,Celery leaves,Celery Leaves
4830,Chive,Chives
4831,Common thyme,Common Thyme
4832,Common thyme,Common Thyme
4833,Cilantro,Coriander
4834,Curly parsley,Curled Parsley
4835,Curly parsley,Curled Parsley
4836,Wreck,Epazote
4837,Fennel (sweet subspecies),Fennel (Subspecies dulce)
4838,Fennel (dulce subspecies),Fennel (Subspecies dulce)
4839,Plajil Plan (Italian),Flat Parsley (Italian)
4840,Flat parsley (Italian),Flat Parsley (Italian)
4841,Garden Cess,Garden Cress
4842,Garden watercress,Garden Cress
4843,Herbal varieties package,Herbs Variety Pack
4844,Pack of grass varieties,Herbs Variety Pack
4845,Saint leaf,Hoja Santa
4846,Lemon thyme,Lemon Thyme
4847,Lemon thyme,Lemon Thyme
4848,Lemon verbena,Lemon Verbena
4849,Lemon verbena,Lemon Verbena
4850,Lemon grass,Lemongrass
4851,Love,Lovage
4852,Adorable,Lovage
4853,mint,Mint
4854,mint,Mint
4855,Cabbage,Mugwort
4856,Papal,Papalo
4857,Marjoram,Pot Marjoram
4858,Marjoram in pots,Pot Marjoram
4859,Ramson,Ramsons
4860,Wise,Sage
4861,Wise,Sage
4862,Summer salty,Summer Savoury
4863,Summer savory,Summer Savoury
4864,Sweet Cicel,Sweet Cicely
4865,Winter Sendism,Winter Savoury
4866,Salt winter,Winter Savoury
4867,Armenian cucumber,Armenian Cucumber
4868,Armenian cucumber,Armenian Cucumber
4869,KNOW MELONS,Conomon Melons
4870,Melons conomon,Conomon Melons
4871,Melon (horns),Melon (Horned)
4872,Melon (Cornu),Melon (Horned)
4873,Muskmelons scored,Netted Muskmelons
4874,Net Muskmelons,Netted Muskmelons
4875,Noted Cantalupo melons,Non-Netted Cantaloupe Melons
4876,Cantaloup unpaid cantaloup,Non-Netted Cantaloupe Melons
4877,Other melons,Other Melons
4878,Other melons,Other Melons
4879,Watermelon,Watermelons
4880,Winter melons or toilet musk,Winter Melons or Odourless Muskmelons
4881,Winter melons or Muskmés without odor,Winter Melons or Odourless Muskmelons
4882,Spentulas - List to eat,Seedlings - Ready to Eat
4883,Sowing - ready to eat,Seedlings - Ready to Eat
4884,Cabbage,Sprouts
4885,Cabbage,Sprouts
4886,Carob,Carobs
4887,Caroubs,Carobs
4888,Sweet corn,Sweetcorn
4889,Sweet corn,Sweetcorn
4890,black Eyed Peas,Black Eyed Peas
4891,Lenses,Lentils
4892,Green peas,Peas
4893,Snow peas,Snow Peas
4894,Snowball,Snow Peas
4895,Green peas,Sugar Snap Peas
4896,Eating pea,Sugar Snap Peas
